Subject Code*,Title*,Course Description*,Credit Hours*,Class Notes*,Registration Restrictions*,Degree Plans*,Skills Learned*,,,,,
CSCI-5922*,Fundamentals of Neural  Networks and Deep Learning*,"Covers fundamentals of neural networks and deep learning and their use to address many societal problems. Students will learn to design and implement neural network architectures, train them, and evaluate their performance. Included will be examination of popular architectures such as fully connected, convolutional, recurrent, and transformer-based networks alongside learning strategies such as backpropagation, regularization, and transfer learning. Students will also gain practical, hands-on experience by applying learned skills to analyze visual and textual data. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4922 *",3*,"(FA26) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. Student may be dropped from course for non-attendance. This class will have its last meeting day on Friday, Dec. 4, 2026.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, DSE Subplan, RBT Subplan; NTEN-MSNE: Elective. ; AINT-MSAI: Core*","TensorFlow, Python, Deep Learning Algorithms.*",,,,,
CSCI-5303*,Cybersecurity Club Companion Course*,"DISCONTINUED - this course is no longer offered. Gives students hands-on experience applying practical security skills and adversarial thinking to real-world problems. Students will work in small teams on internal challenges, lab development, open source contributions, and will represent the university in larger teams for external challenges at the national and global level, such as those hosted by Collegiate Cyber Defense Competition (CCDC), Wicked6, DOE CyberForce, etc. Students will be expected to participate in both internal and external challenges, attend meetings, and present short presentations to the group when appropriate. Previously offered as a special topics course. Equivalent - Duplicate Degree Credit Not Granted: CYBR 5303 and CSCI 4303. Repeatable: Repeatable for up to 3.0 total credit hours. ",1*,None available (FA24-FA26)*,Recommended: Prerequisites CSCI 5403 or CSCI 3403.*,Course is discontinued.; AINT-MSAI: Not Applicable*,Not Available*,,,,,
CYBR-5020*,Fundamentals of Network Programming*,This course provides an immersion into the foundation theories of network programming and software development for emerging technologies. Students will gain direct experience with real-world programming lab experiments and demonstrations that will relate to the prolific increase of cross-discipline programming. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5020 *,3*,(FA24) None*,"Restricted to Technology, Cybersecurity and Policy MS Majors and Business Analytics MS Majors.*",CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; CSEN-PhD: Not Applicable; NTEN-MSNE: Fundamentals ; AINT-MSAI: Not Applicable*,"Python; Functions; Loops; Lists; Dictionaries; Data Structures; Object Oriented Programming; OOP; DevOps; CI/CD; Git; GitHub; Network Automation; Modules; Classes; Databases; Subprocess, multithreading, parallel processing; Web servers; Secure programming*",,,,,
CYBR-5010*,Fundamentals of Data Communication*,"Combining conceptual knowledge about data communications and core Internet technologies with hands-on labs that reinforce the conceptual knowledge, this course provides students with the ability to create innovative technology solutions in their discipline. Learning how the Internet works and being able to evaluate and operate an Internet network is a valuable skill; students in this course will have a competitive advantage in this foundational field. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5010 *",3*,(FA24) None*,"Restricted to Technology, Cybersecurity and Policy MS Majors and Business Analytics MS Majors.*",CSEN-MS: Not Applicable; CSEN-MSCPS: Not Applicable; CSEN-PhD: Not Applicable; NTEN-MSNE: Fundamentals ; AINT-MSAI: Not Applicable*,"OSI Network stack; TCP/IP; Internet architecture; Routing; Routing Protocols; Datacenter networking; Switching; STP; Trunking; Spanning Tree; Wireless networking; 802.11; IoT; Data Center; Scalable, efficient, and reliable network systems; NAT; Network Address Translation; Network Security; NMAP; Overlay Network, P2P Network, Content Distribution Network (CDN); TCP Congestion Control; Multimedia Network Protocols; Security Protocols; Understanding Communication Protocols and Data transfer methods for network, client and server technologies; Cisco, Arista or Juniper OS/Technology. Data Modeling Languages (YAML). Scripting*",,,,,
CSCI-5454*,Design and Analysis of Algorithms*,"Techniques for algorithm design, analysis of correctness and efficiency; divide and conquer, dynamic programming, probabilistic methods, advanced data structures, graph algorithms, etc. Lower bounds, NP-completeness, intractability.*",3*,"(FA26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.  This class will have its last meeting day on Friday, Dec. 4, 2026.*",Restricted to graduate students only. Recommended: Prerequisite CSCI 2270 or equivalent.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective;  CSEN-MSCPS: Bin 1, Elective, ANO Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Algorithms: Graph algorithms, dynamic programming, approximation and randomized algorithms, random walks, dimensionality reduction, intro to optimization*",,,,,
CSCI-5576*,High-Performance Scientific Computing*,"Introduces computing systems, software and methods used to solve large-scale problems in science and engineering. Students use high-performance workstations and a supercomputer. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4576 *",4*,"(FA26) LEC & LAB: Before open enrollment the system is not permitting students to waitlist for CSCI courses with labs or recitations that ALSO have a major reserve. Please wait until open enrollment to waitlist for major-reserved courses with labs or recitations. Thank you. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance. This class will not meet on Friday, Dec 4, 2026.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective;  CSEN-MSCPS: Bin 1, Elective, DSE Subplan, NUM Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Performance analysis, parallel algorithms, programming models (OpenMP, MPI, CUDA, ...), sparse/dense linear algebra, PDE solvers, fast n-body methods, parallel I/O*",,,,,
CSCI-5446*,Chaotic Dynamics*,"Explores chaotic dynamics theoretically and through computer simulations. Covers the standard computational and analytical tools used in nonlinear dynamics and concludes with an overview of leading-edge chaos research. Topics include time and phase-space dynamics, surfaces of section, bifurcation diagrams, fractal dimension and Lyapunov exponents. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4446 and ECEN 4423 and ECEN 5423 *",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective;  CSEN-MSCPS: Bin 1, Elective, NUM Subplan; NTEN-MSNE: Elective; NOTE - since CSCI 5446 and ECEN 5423 are cross-listed, ECEN 5423 does not count against non-CS course limit. However, ECEN 5423 is limited to ECEN graduate students. ; AINT-MSAI: Elective*","Differential equations, time-series analysis*",,,,,
CSCI-5444*,Theory of Computation*,"Reviews regular expressions and finite automata. Studies Turing machines and equivalent models of computation, the Chomsky hierarchy, context-free grammars, push-down automata, and computability.*",3*,"(FA26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective;  Depth; CSEN-MSCPS: Bin 1, Elective, ANO Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*","Foundations of automata theory, computability theory, and complexity theory. Undecidability, Intractability, and Complexity classes*",,,,,
CSCI-5434*,Probability for Computer Science*,"This course will introduce computer science students to topics in probability and statistics that will be useful in other computer science courses. Basic concepts in probability will be taught from an algorithmic and computational point of view, with examples drawn from computer science.*",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. This class will have its last meeting day on Friday, April 24, 2026.*",Restricted to graduate students only. Recommended: Prerequisite courses of APPM 1360 or MATH 2300 and CSCI 2824 or MATH 2001 or ECEN 2703 (all minimum grade B).*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, AIG Subplan, ANO Subplan, DSE Subplan, RBT Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Depth*","introductory probability theory, in both discrete and continuous domains, for both univariate and multivariate distributions. Mathematical reasoning skills needed to solve problems involving uncertainty. Understanding and mathematical skills (both computational and analytical) in a variety of concepts and techniques that make use of probability and statistics, and are strongly related to many areas of computer science. Exposure to derivations and proofs, and the ability to perform probabilistic analysis of algorithms.*",,,,,
CSCI-5254*,Convex Optimization*,"Discuss basic convex analysis (convex sets, functions and optimization problems), optimization theory (linear, quadratic, semidefinite and geometric programming; optimality conditions and duality theory), some optimization algorithms (descent methods and interior-point methods), basic applications (in signal processing, control, communications, networks, statistics, machine learning, circuit design and mechanical engineering, etc.), and some advanced topics (distributed decomposition, exact convex relaxation, parsimonious recovery).8",3*,"(FA26) 001: Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance. 002: Until open enrollment date, registration is restricted to ROBO graduate students only. Non-ROBO students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to ROBO students*",Restricted to graduate students only.*,"CSEN-PhD: Bin 1, Depth; CSEN-MS: Bin 1, Elective; CSEN-MSCPS: Bin 1, Elective, AIG Subplan, ANO Subplan, DSE Subplan, RBT Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Depth*","Convex analysis (convex sets, functions, and optimization problems), optimization theory (linear, quadratic, semidefinite, and geometric programming; optimality conditions and duality theory), optimization algorithms (descent methods and interior-point methods), basic applications of optimization (in signal processing, machine learning, statistics, control, communications, networks, and finance, etc)*",,,,,
